follower_user_id,following_user_id
103184,119
103184,50
103184,42628
103184,7779
15893,98746
15893,194073
15893,280619
15893,168343
74715,97378
15893,332220
15893,135873
74715,31691
15893,32124
15893,115966
15893,177806
15893,24658
15893,57805
15893,50837
74715,55884
15893,269294
74715,254175
74715,76553
74715,262071
74715,44009
7772,13151
4324,10507
10507,4324
10507,166902
87559,241639
87559,33265
87559,18259
87559,38000
87559,136124
87559,261484
87559,100351
87559,1900
87559,58913
87559,2908
87559,9104
87559,100476
87559,67206
87559,2455
87559,19989
87559,2039
87559,1257
87559,23982
87559,37709
87559,9212
87559,15480
87559,230894
87559,349
98746,20
262071,30869
20083,5803
20083,234668
4484,946
14098,25359
14098,69
14098,302
410643,58034
291010,333914
3369,18280
3369,6206
81362,83762
81362,128290
81362,41020
81362,852
40752,26362
105600,135873
105600,126271
105600,57777
105600,41041
105600,194293
105600,445946
105600,73658
105600,20674
105600,64826
105600,405249
105600,71734
76886,85553
196937,85553
92106,43907
92106,128159
672,11417
672,4074
672,30720
124502,1644
124502,9771
124502,234668
372346,58034
74,588
73161,14103
333240,58034
325056,15480
325056,183284
325056,28790
325056,80782
325056,11126
333914,211440
55173,16982
2,16982
113348,44839
8843,333240
8843,1880
8843,14369
8843,6118
28220,259358
9191,241639
9191,72708
9191,5649
9191,30720
242647,183284
242647,5754
72708,202931
202931,72708
11126,15450
11126,946
11126,11868
71734,8660
71734,35
71734,112771
71734,2
71734,7779
11056,870
11056,14103
11056,132442
11056,7007
11056,146395
11056,137541
11056,158596
205362,72708
98746,12107
98746,103988
98746,105600
787,4248
192517,7970
192517,9771
202931,74
202931,166902
202931,8843
73528,16056
51375,787
51375,241639
51375,7970
51375,74
51375,7
51375,18280
173923,259358
173923,132442
173923,119
80782,84800
80782,946
80782,32220
325056,1257
140371,761
322155,20520
333240,13056
333240,21568
333240,19903
333240,183
333240,5754
333240,71
333240,1147
333240,4849
333240,36290
333240,144770
333240,9212
333240,10383
24658,72708
333240,35651
333240,127139
333240,115829
333240,29671
333240,105600
291010,163470
291010,28396
291010,6363
291010,69248
291010,4827
291010,269294
291010,251686
291010,87931
291010,120524
291010,19510
232,74
262071,14369
262071,190
262071,1
41977,72708
41977,8319
333240,1
177,946
158394,5
158394,1
10313,26
158184,239747
94721,559
94721,1550
94721,12705
94721,344466
94721,309884
94721,22211
94721,11670
94721,196937
94721,337647
94721,22891
94721,175906
94721,146
94721,1
94721,73028
94721,13063
94721,270
502879,211440
22891,382
8319,382
10047,382
190,382
107264,382
23,382
3973,382
2,382
7293,382
69,382
382,22891
382,8319
382,10047
382,190
382,3973
382,7293
382,349
382,69
382,273
33606,2877
127,225925
2474,833
2474,11417
2474,38473
2474,4815
2474,946
2474,1368
12791,69
12791,2514
12791,239747
149563,18280
4849,196937
4849,115966
4849,18280
440214,1
440214,177
55439,143067
405249,2
354646,177
128159,2081
128159,151696
7970,190
190,946
190,133
23920,550
90578,333240
364546,225925
28220,11670
28220,10694
28220,35441
364546,177
946,104868
946,35
